Player,Date of Birth
George Jennings,NA
Reimis Smith,13 May 1997
Jesse Bromwich,3 May 1989
Chris Lewis,NA
Tex Hoy,4 November 1999
Enari Tuala,19 October 1998
Mitchell Pearce,7 April 1989
Sauaso Sue,20 April 1992
Hymel Hunt,14 November 1993
Tesi Niu,11 August 2001
David Mead,NA
Anthony Milford,11 July 1994
Brodie Croft,14 July 1997
Tevita Pangai Junior,4 February 1996
Matthew Lodge,31 May 1995
Alex Glenn,31 July 1988
John Asiata,19 April 1993
Ben Te'o,27 January 1987
David Fusitu'a,16 October 1994
Peta Hiku,4 December 1992
Jamayne Taunoa-Brown,17 November 1996
Bayley Sironen,23 December 1996
Tohu Harris,7 January 1992
Ben Murdoch-Masila,7 February 1991
Leeson Ah Mau,20 December 1989
Bunty Afoa,20 August 1996
Josh Morris,NA
Joseph Manu,29 June 1996
Brett Morris,23 August 1986
Lachlan Lam,25 March 1998
Luke Keary,3 February 1992
Jake Friend,1 February 1990
Isaac Liu,26 April 1991
Adam Keighran,24 April 1997
Jared Waerea-Hargreaves,20 January 1989
Paul Momirovski,19 July 1996
Tyrone May,21 June 1996
Curtis Scott,12 October 1997
Jordan Rapana,15 August 1989
George Williams,NA
Josh Hodgson,31 October 1989
Dunamis Lui,16 February 1990
Keegan Hipgrave,1 January 1997
Anthony Don,21 September 1987
Patrick Herbert,10 January 1997
Corey Thompson,15 May 1990
Ashley Taylor,17 March 1995
Jarrod Wallace,23 July 1991
Mitch Rein,26 April 1990
Kevin Proctor,28 February 1989
Tyrone Peachey,8 August 1991
Sam Lisone,19 February 1994
Will Hopoate,NA
Nick Cotric,NA
Ofahiki Ogden,6 June 1996
Josh Jackson,NA
Renouf Atoni,NA
Corey Waddell,2 October 1996
Dylan Napa,13 November 1992
Brad Parker,NA
Kieran Foran,13 July 1990
Andrew Davey,29 November 1991
Kyle Feldt,9 February 1992
Esan Marsters,17 August 1996
Michael Morgan,NA
Jordan McLean,8 October 1991
Mitchell Dunn,3 February 1997
Jake Granville,7 February 1989
Josh McGuire,2 March 1990
Corey Jensen,8 January 1994
Lachlan Burr,27 September 1992
David Nofoaluma,28 November 1993
Joseph Leilua,12 December 1991
Thomas Burgess,NA
Benji Marshall,25 February 1985
Patrick Mago,4 December 1994
Jarrod Croker,11 September 1990
Rhys Kennedy,11 October 1994
Gehamat Shibasaki,18 February 1998
Justin O'Neill,4 April 1991
